City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Cap Malheureux,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
165,Rafai,CF,68.97,light rain,4.95,23.9167,
167,Filingue,NE,91.87,overcast clouds,14.3521,3.3168,
168,Canchungo,GW,84.27,overcast clouds,12.0672,-16.0333,Aparthotel Napalach
172,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
174,Shorapur,IN,71.02,broken clouds,16.5167,76.75,Up Inn Lodge
175,Natitingou,BJ,77.05,overcast clouds,10.3042,1.3796,Auberge Centrale
176,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
177,Siocon,PH,77.43,overcast clouds,7.7061,122.1353,ABS Hotel
179,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
181,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
182,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
183,Dulce Grande,MX,76.44,scattered clouds,23.0,-102.1667,
184,Manokwari,ID,78.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
185,Coihueco,CL,74.14,clear sky,-36.6167,-71.8333,Frutillares Coihueco
187,Goure,NE,88.02,few clouds,13.9835,10.2704,
188,Umm Lajj,SA,77.41,clear sky,25.0213,37.2685,Moon light Furnished Units
192,Wahiawa,US,79.79,broken clouds,21.5028,-158.0236,Aloha Wahiawa
195,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
196,Buraydah,SA,75.65,clear sky,26.326,43.975,فندق راحة السلام
197,Kaniama,CD,67.32,light rain,-7.5667,24.1833,
199,Itarema,BR,80.55,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
201,Caravelas,BR,77.36,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
202,Dingle,PH,75.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
203,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
204,Arraial Do Cabo,BR,75.06,light rain,-22.9661,-42.0278,Pousada Porto Praia
205,Hualmay,PE,65.52,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
207,Katobu,ID,75.74,overcast clouds,-4.9408,122.5276,La Ode Husein
208,Laminusa,PH,81.59,scattered clouds,5.5549,120.9136,Laminusa Port
211,Hirara,JP,73.67,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
216,Padang,ID,76.37,moderate rain,-0.9492,100.3543,Mercure Padang
217,Lahij,YE,77.5,clear sky,13.1667,44.5833,
223,Alvorada,BR,85.01,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
