City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Guiglo,CI,6.5456,-7.4966,73.02,97,100,3.51,light rain
191,Dingle,PH,10.9995,122.6711,75.4,92,97,3.29,overcast clouds
192,Denpasar,ID,-8.65,115.2167,78.46,83,40,1.14,scattered clouds
193,Mazagao,BR,-0.115,-51.2894,91.45,55,37,5.66,scattered clouds
194,Boyolangu,ID,-8.1181,111.8935,75.97,87,100,4.34,overcast clouds
195,Victoria,HK,22.2855,114.1577,69.33,74,67,1.01,light rain
196,Tuatapere,NZ,-46.1333,167.6833,55.27,93,97,3.53,overcast clouds
197,Kulhudhuffushi,MV,6.6221,73.07,81.99,79,94,13.76,overcast clouds
198,Emerald,AU,-23.5333,148.1667,73.54,68,49,3.44,scattered clouds
199,Broome,US,42.2506,-75.833,55.2,76,90,1.01,overcast clouds
200,Springdale,US,36.1867,-94.1288,78.53,68,90,25.99,overcast clouds
201,Grand Gaube,MU,-20.0064,57.6608,74.37,70,85,4.0,overcast clouds
202,Dikson,RU,73.5069,80.5464,8.73,90,100,18.19,light snow
203,Ayan,RU,56.45,138.1667,39.06,74,68,6.4,broken clouds
204,Tabou,CI,4.423,-7.3528,77.74,84,86,7.0,overcast clouds
205,Gedo,ET,9.0167,37.45,50.0,66,8,3.53,clear sky
206,Tamala,RU,52.541,43.2515,35.53,95,100,16.73,moderate rain
207,Krasnoselkup,RU,65.7,82.4667,24.15,90,97,20.76,overcast clouds
208,Wanning,CN,18.8003,110.3967,70.7,84,97,9.37,overcast clouds
209,Asau,RO,46.4333,26.4,39.4,71,7,0.89,clear sky
210,Huntsville,US,34.7304,-86.5861,78.6,56,1,1.99,clear sky
211,Launceston,AU,-41.45,147.1667,46.62,76,75,5.99,broken clouds
212,Carutapera,BR,-1.195,-46.02,84.0,72,6,10.0,clear sky
213,Korla,CN,41.7597,86.1469,47.61,39,0,3.38,clear sky
214,Aykhal,RU,66.0,111.5,15.49,100,100,4.83,overcast clouds
215,Mweka,CD,-4.85,21.5667,69.35,97,40,2.46,light rain
216,Cabo San Lucas,MX,22.8909,-109.9124,90.61,65,20,2.3,few clouds
217,Nome,US,64.5011,-165.4064,28.47,86,90,4.61,light snow
218,Lethem,GY,3.3803,-59.7968,89.51,56,56,7.92,broken clouds
219,Pisco,PE,-13.7,-76.2167,69.85,60,0,18.41,clear sky
220,Masallatah,LY,32.6167,14.0,70.18,78,0,8.25,clear sky
221,Tadine,NC,-21.55,167.8833,71.01,81,19,11.23,few clouds
222,Cootamundra,AU,-34.65,148.0333,35.29,86,0,2.68,clear sky
223,Gabaldon,PH,15.4522,121.3387,74.57,90,100,3.58,overcast clouds
224,Umm Lajj,SA,25.0213,37.2685,78.04,69,0,9.71,clear sky
